Id,SalePrice
2658,130008.207351055
2718,163891.42217873782
2414,220073.6565870149
1989,114841.59353109449
625,192640.12497348338
333,67305.91686650645
1327,115289.91050456278
858,149905.96277290303
95,180459.27014682256
1568,183451.48618897796
2482,161032.35363885202
1364,134251.14312534127
2584,165964.20150150545
818,239201.01106338203
2673,197040.1529548932
2089,166865.4327168269
1297,131879.5722940676
790,117471.38715982437
2616,237050.9467905024
720,195579.46934824623
222,157840.13147449028
557,105770.74575911183
1148,194747.58744572196
2766,166023.8193229437
534,206368.98233031295
1452,110617.42372829933
630,125795.06347934436
2648,133378.77758559491
125,141987.8419099478
1904,2214.621909685433
1670,93792.61941594351
756,69786.83033685572
717,229371.5261467956
1032,154011.29976505227
852,240673.86945539527
1731,205067.94409188256
2639,119041.59302078001
2071,86046.28883634415
1267,126939.40919881407
1851,207601.8500290839
567,147113.74492128845
2439,237694.77582440525
1898,153329.24744191207
647,180392.72583700065
2256,211237.3607757585
979,100302.7755367253
1444,216268.15757683013
2485,130627.77634774148
157,139075.73599596974
88,115371.33863058314
2003,115346.8708311813
186,218363.84725808445
1425,263081.9957538154
2695,132465.87382749747
738,91411.95245504193
395,162552.73869891
1353,173723.9473354295
1878,168040.8548238082
390,182266.20413582493
1456,224810.05250190478
1103,284838.17089933995
1387,85449.81479771435
2070,151513.39149462245
1199,187384.51035357453
2479,177780.50063846912
501,292897.93097947724
2362,85503.53309087828
1718,190504.14491562545
2188,58945.35575319268
1483,150030.68474821746
2557,68666.59342655074
437,313031.227681051
2224,211018.52495219
1628,203948.7653988637
397,130032.36079250276
587,199831.64394689165
971,205995.950011909
2611,155187.21218364872
1887,91265.31913367659
2399,309800.14465695247
2148,224213.615616736
304,139511.65033801738
1997,116854.84663777985
2817,88766.21853593085
1431,194781.8374036597
427,296197.10363200214
263,108494.10886297747
598,162514.85407884605
2895,274454.916868587
687,156472.37599421293
1822,131646.7814068999
2191,106827.89728143252
179,139939.31495848298
1009,210456.0325761959
2010,121582.28183254227
1991,148876.18454910815
1411,222700.4126743162
1721,248047.54364620056
1144,189565.01079817303
593,226471.52605871577
575,289754.5837823665
1249,179865.68805084564
1604,130554.62645780947
